Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1315","Insecticides – Other","2015","2015","tonnes","155.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1315","Insecticides – Other","2016","2016","tonnes","168.1","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1315","Insecticides – Other","2017","2017","tonnes","1171.9","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1990","1990","tonnes","292","F","FAO estimate"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1991","1991","tonnes","275","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1992","1992","tonnes","332","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1993","1993","tonnes","325","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1994","1994","tonnes","329","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1995","1995","tonnes","245","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1996","1996","tonnes","219","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1997","1997","tonnes","292","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1998","1998","tonnes","164","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","1999","1999","tonnes","269","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2000","2000","tonnes","229.5","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2001","2001","tonnes","243.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2002","2002","tonnes","196.1","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2003","2003","tonnes","112","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2004","2004","tonnes","138.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2005","2005","tonnes","118.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2006","2006","tonnes","160.6","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2007","2007","tonnes","162.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2008","2008","tonnes","198.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2009","2009","tonnes","192.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2010","2010","tonnes","191.8","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2011","2011","tonnes","8.3","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2012","2012","tonnes","8.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2013","2013","tonnes","12.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2014","2014","tonnes","17.7","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2015","2015","tonnes","16.1","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2016","2016","tonnes","17","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1354","Mineral Oils","2017","2017","tonnes","24.2","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1316","Mineral Oils","1990","1990","tonnes","292","F","FAO estimate"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1316","Mineral Oils","1991","1991","tonnes","275","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RP","Pesticides Use","11","Austria","5157","Agricultural Use","1316","Mineral Oils","1992","1992","tonnes","332","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
